Year,Athlete,Place_no,Time
1983.0,Virginia Berasategui,0.0,N/A
1983.0,Mirinda Carfrae,0.0,N/A
1983.0,Yvonne van Vlerken,0.0,N/A
1983.0,Sandra Wallenhorst,0.0,N/A
1983.0,Chrissie Wellington,0.0,N/A
1983.0,Samantha McGlone,0.0,N/A
1983.0,Lisa Bentley,0.0,N/A
1983.0,Desiree Ficker,0.0,N/A
1983.0,Michellie Jones,0.0,N/A
1983.0,Kate Major,0.0,N/A
1983.0,Nina Kraft,0.0,N/A
1983.0,Heather Fuhr,0.0,N/A
1983.0,Lori Bowden,0.0,N/A
1983.0,Natascha Badmann,0.0,N/A
1983.0,Isabelle Mouthon,0.0,N/A
1983.0,Fernanda Keller,0.0,N/A
1983.0,Karen Smyers,0.0,N/A
1983.0,Susan Latshaw,0.0,N/A
1983.0,Julie Anne White,0.0,N/A
1983.0,Thea Sybesma,0.0,N/A
1983.0,Sarah Coope,0.0,N/A
1983.0,Terri Schneider,0.0,N/A
1983.0,Kirsten Hanssen,0.0,N/A
1983.0,Erin Baker,0.0,N/A
1983.0,Joanne Ernst,0.0,N/A
1983.0,Paula Newby-Fraser,0.0,N/A
1983.0,Elizabeth Bulman,0.0,N/A
1983.0,Julie Olson,0.0,N/A
1983.0,Patricia Puntous,2.0,10:49:17
1983.0,Sylviane Puntous,1.0,10:43:36
1983.0,Eva Ueltzen,3.0,11:01:49
1983.0,Julie Leach,0.0,N/A
1983.0,Jo Ann Dahlkoetter,0.0,N/A
1983.0,Julie Moss,0.0,N/A
1983.0,Kathleen McCartney,0.0,N/A
1983.0,Sally Edwards,0.0,N/A
1983.0,Lyn Brooks,0.0,N/A
1983.0,Linda Sweeney,0.0,N/A
1983.0,Eve Anderson,0.0,N/A
1983.0,Robin Beck,0.0,N/A
1983.0,Lyn Lemaire,0.0,N/A
1984.0,Anne Haug,0.0,N/A
1984.0,Sarah Crowley,0.0,N/A
1984.0,Lucy Charles,0.0,N/A
1984.0,Heather Jackson,0.0,N/A
1984.0,Daniela Ryf,0.0,N/A
1984.0,Rachel Joyce,0.0,N/A
1984.0,Liz Blatchford,0.0,N/A
1984.0,Leanda Cave,0.0,N/A
1984.0,Caroline Steffen,0.0,N/A
1984.0,Julie Dibens,0.0,N/A
1984.0,Virginia Berasategui,0.0,N/A
1984.0,Mirinda Carfrae,0.0,N/A
1984.0,Yvonne van Vlerken,0.0,N/A
1984.0,Sandra Wallenhorst,0.0,N/A
1984.0,Chrissie Wellington,0.0,N/A
1984.0,Samantha McGlone,0.0,N/A
1984.0,Lisa Bentley,0.0,N/A
1984.0,Desiree Ficker,0.0,N/A
1984.0,Michellie Jones,0.0,N/A
1984.0,Kate Major,0.0,N/A
1984.0,Nina Kraft,0.0,N/A
1984.0,Heather Fuhr,0.0,N/A
1984.0,Lori Bowden,0.0,N/A
1984.0,Natascha Badmann,0.0,N/A
1984.0,Isabelle Mouthon,0.0,N/A
1984.0,Fernanda Keller,0.0,N/A
1984.0,Karen Smyers,0.0,N/A
1984.0,Susan Latshaw,0.0,N/A
1984.0,Julie Anne White,0.0,N/A
1984.0,Thea Sybesma,0.0,N/A
1984.0,Sarah Coope,0.0,N/A
1984.0,Terri Schneider,0.0,N/A
1984.0,Kirsten Hanssen,0.0,N/A
1984.0,Erin Baker,0.0,N/A
1984.0,Joanne Ernst,0.0,N/A
1984.0,Paula Newby-Fraser,0.0,N/A
1984.0,Elizabeth Bulman,0.0,N/A
1984.0,Julie Olson,3.0,10:38:10
1984.0,Patricia Puntous,2.0,10:27:28
